start_time,lon,lat,central_pressure,wind,direction,feature_speed
2019-08-04 14:00:00,131.5,16.7,1000,15,北,8
2019-08-04 17:00:00,131.5,17.1,998,18,北,6
2019-08-04 20:00:00,131.3,17.4,998,18,西北,5
2019-08-04 23:00:00,130.9,17.7,995,20,西西北,5
2019-08-05 02:00:00,130.5,17.9,990,23,西北,4
2019-08-05 05:00:00,130.4,18,990,23,西西北,8
2019-08-05 08:00:00,130.2,18.5,990,23,西西北,5
2019-08-05 11:00:00,130,18.9,990,23,西西北,5
2019-08-05 14:00:00,129.7,19,990,23,西,6
2019-08-05 17:00:00,129.6,19,990,23,西西北,5
2019-08-05 20:00:00,129.4,19,990,23,西西北,7
2019-08-05 23:00:00,129.3,19,990,23,西,6
2019-08-06 02:00:00,129.2,18.6,985,25,西北,6
2019-08-06 05:00:00,129,18.6,982,28,西北,6
2019-08-06 08:00:00,129,18.9,982,28,西西北,8
2019-08-06 11:00:00,129,19,982,28,西北,10
2019-08-06 14:00:00,128.9,19.2,982,28,西西北,10
2019-08-06 17:00:00,128.8,19.5,982,28,西西北,10
2019-08-06 20:00:00,128.4,19.6,980,30,西北,15
2019-08-06 23:00:00,128.4,19.7,980,30,西北,12
2019-08-07 02:00:00,128.2,19.8,980,30,西北,12
2019-08-07 05:00:00,128.1,19.8,975,33,西北,12
2019-08-07 08:00:00,128.1,20.2,975,33,西北,16
2019-08-07 11:00:00,128,20.7,970,35,西北,15
2019-08-07 14:00:00,127.7,20.9,955,40,西北,15
2019-08-07 17:00:00,127.5,21.4,950,42,西北,16
2019-08-07 20:00:00,127,21.6,940,48,西北,15
2019-08-07 23:00:00,126.6,21.7,930,52,北西北,20
2019-08-08 00:00:00,126.5,21.9,930,52,西北,20
2019-08-08 01:00:00,126.5,21.9,930,52,西北,15
2019-08-08 02:00:00,126.4,22.1,930,52,北西北,15
2019-08-08 03:00:00,126.2,22.2,930,52,北西北,16
2019-08-08 04:00:00,126.1,22.3,930,52,北西北,16
2019-08-08 05:00:00,126,22.4,930,52,北西北,15
2019-08-08 06:00:00,126,22.5,930,52,西北,15
2019-08-08 07:00:00,125.9,22.7,930,52,西北,15
2019-08-08 08:00:00,125.9,22.7,930,52,北西北,15
2019-08-08 09:00:00,125.9,22.8,930,52,北西北,15
2019-08-08 10:00:00,125.9,22.9,930,52,北西北,15
2019-08-08 11:00:00,125.8,23.1,930,52,北西北,15
2019-08-08 12:00:00,125.7,23.2,930,52,北西北,15
2019-08-08 13:00:00,125.6,23.5,930,52,西北,15
2019-08-08 14:00:00,125.5,23.7,925,55,西北,18
2019-08-08 15:00:00,125.4,23.7,925,55,西北,18
2019-08-08 16:00:00,125.3,23.8,925,55,西北,18
2019-08-08 17:00:00,125.3,24,920,58,西北,20
2019-08-08 18:00:00,125.1,24.1,920,58,西北,20
2019-08-08 19:00:00,125.1,24.3,920,58,西北,20
2019-08-08 20:00:00,125,24.4,920,58,西北,22
2019-08-08 21:00:00,124.9,24.4,915,62,西北,22
2019-08-08 22:00:00,124.9,24.5,915,62,西北,22
2019-08-08 23:00:00,124.8,24.8,915,62,西北,22
2019-08-09 00:00:00,124.6,25.1,915,62,西北,22
2019-08-09 01:00:00,124.5,25.2,915,62,西北,22
2019-08-09 02:00:00,124.5,25.4,915,62,西北,22
2019-08-09 03:00:00,124.4,25.7,915,62,西北,22
2019-08-09 04:00:00,124.1,26,915,62,西西北,22
2019-08-09 05:00:00,124,26.1,920,60,西北,20
2019-08-09 06:00:00,123.8,26.3,920,60,西北,20
2019-08-09 07:00:00,123.5,26.4,920,60,西北,20
2019-08-09 08:00:00,123.4,26.5,920,58,西北,13
2019-08-09 09:00:00,123.3,26.6,920,58,西北,15
2019-08-09 10:00:00,123.1,26.7,920,58,西北,15
2019-08-09 11:00:00,122.9,26.8,920,58,西西北,16
2019-08-09 12:00:00,122.8,26.8,920,58,西西北,16
2019-08-09 13:00:00,122.7,26.9,920,58,西西北,16
2019-08-09 14:00:00,122.6,27,920,58,西北,15
2019-08-09 15:00:00,122.5,27.1,920,58,西北,15
2019-08-09 16:00:00,122.4,27.2,920,58,西北,15
2019-08-09 17:00:00,122.2,27.3,930,55,西北,16
2019-08-09 18:00:00,122.1,27.4,930,55,西北,15
2019-08-09 19:00:00,122.1,27.4,930,55,西北,15
2019-08-09 20:00:00,122,27.5,935,52,西北,15
2019-08-09 21:00:00,122,27.6,935,52,西北,15
2019-08-09 22:00:00,121.9,27.7,935,52,西北,15
2019-08-09 23:00:00,121.8,27.8,935,52,西北,17
2019-08-10 00:00:00,121.7,28,935,52,西北,16
2019-08-10 01:00:00,121.5,28.2,925,52,西北,16
2019-08-10 01:00:00,121.50000,28.20000,,,,
2019-08-10 02:00:00,121.4,28.3,930,52,北西北,18
2019-08-10 03:00:00,121.2,28.4,935,50,北西北,15
2019-08-10 04:00:00,121.1,28.5,940,48,北西北,15
2019-08-10 05:00:00,121,28.6,955,40,北西北,15
2019-08-10 06:00:00,121,28.6,965,35,北西北,15
2019-08-10 07:00:00,120.9,28.7,970,33,北西北,15
2019-08-10 08:00:00,120.8,28.9,970,33,北,15
2019-08-10 09:00:00,120.7,29,972,30,北,15
2019-08-10 10:00:00,120.6,29.1,975,30,北,15
