Remarks:		
1. Pollutant unit in μg/m3		
2. DAY = Julian day of the year (1-366)			
3. N.A. = data not available	

O3 (Ozone)				


YEAR,DAY,HOUR,Causeway Bay,Central,Central/Western,Eastern,Kwai Chung,Kwun Tong,Mong Kok,Sha Tin,Sham Shui Po,Tai Po,Tap Mun,Tsuen Wan,Tung Chung,Yuen Long
1999,365,24,N.A.,N.A.,N.A.,43,N.A.,N.A.,N.A.,N.A.,N.A.,7,106,N.A.,19,1
2000,1,1,N.A.,N.A.,48,43,N.A.,60,N.A.,54,22,18,101,39,26,5
2000,1,2,N.A.,N.A.,57,43,N.A.,55,N.A.,59,29,8,111,55,46,1
2000,1,3,N.A.,N.A.,64,39,N.A.,47,N.A.,50,39,12,94,31,37,1
2000,1,4,N.A.,N.A.,69,34,N.A.,54,N.A.,33,47,1,82,32,53,1
2000,1,5,N.A.,N.A.,80,44,N.A.,63,N.A.,24,55,1,70,30,60,0
2000,1,6,N.A.,N.A.,87,47,N.A.,56,N.A.,3,41,1,62,16,48,1
2000,1,7,N.A.,N.A.,88,44,N.A.,34,N.A.,3,10,1,61,12,32,1
2000,1,8,N.A.,N.A.,81,34,N.A.,16,N.A.,3,1,1,48,14,12,1
2000,1,9,N.A.,N.A.,63,27,N.A.,17,N.A.,5,3,1,59,12,7,1
2000,1,10,N.A.,N.A.,56,36,N.A.,32,N.A.,17,4,18,92,6,15,1
2000,1,11,N.A.,N.A.,53,41,N.A.,41,N.A.,50,36,36,104,12,29,6
2000,1,12,N.A.,N.A.,27,50,33,40,N.A.,99,39,57,129,17,48,35
2000,1,13,N.A.,N.A.,12,60,23,55,N.A.,105,44,59,117,25,62,61
2000,1,14,N.A.,N.A.,15,61,11,64,N.A.,124,11,80,N.A.,29,68,65
2000,1,15,N.A.,N.A.,27,49,9,68,N.A.,127,27,91,151,26,113,70
2000,1,16,N.A.,N.A.,38,42,13,53,N.A.,29,51,N.A.,N.A.,38,148,47
2000,1,17,N.A.,N.A.,18,33,11,51,N.A.,49,11,N.A.,N.A.,18,104,24
2000,1,18,N.A.,N.A.,34,12,4,24,N.A.,18,0,1,N.A.,8,25,20
2000,1,19,N.A.,N.A.,8,6,4,13,N.A.,4,0,6,N.A.,3,28,1
2000,1,20,N.A.,N.A.,4,10,4,8,N.A.,4,0,1,N.A.,7,27,1
2000,1,21,N.A.,N.A.,5,11,4,7,N.A.,4,0,1,N.A.,5,7,1
2000,1,22,N.A.,N.A.,6,10,3,12,N.A.,4,0,1,N.A.,3,9,1
2000,1,23,N.A.,N.A.,5,24,3,9,N.A.,3,0,1,N.A.,3,13,1
